date,usd,eur,jpy,gbp,chf,nzd,cad,hkd,sgd,myr,twd,krw,idr,cny,sdr
4-Jan-2000,0.6583,0.6425,67.38,0.4026,1.0312,1.2553,0.9526,5.1194,1.0911,2.5015,20.31,741.18,4667,5.4506,0.4777
5-Jan-2000,0.6558,0.6358,67.53,0.4005,1.0200,1.2636,0.9530,5.1005,1.0863,2.4920,20.11,742.79,4699,5.4300,0.4751
6-Jan-2000,0.6582,0.6368,68.64,0.4004,1.0212,1.2653,0.9547,5.1192,1.0904,2.5012,20.26,748.31,4703,5.4498,0.4770
7-Jan-2000,0.6539,0.6347,68.93,0.3970,1.0186,1.2702,0.9544,5.0859,1.0882,2.4848,20.17,750.35,4741,5.4141,0.4746
10-Jan-2000,0.6556,0.6371,68.86,0.4002,1.0251,1.2723,0.9554,5.0991,1.0879,2.4913,20.18,745.25,4699,5.4280,0.4772
11-Jan-2000,0.6558,0.6389,69.04,0.4006,1.0282,1.2699,0.9544,5.1005,1.0926,2.4920,20.19,746.23,4745,5.4296,0.4775
12-Jan-2000,0.6583,0.6374,69.68,0.3994,1.0265,1.2696,0.9590,5.1203,1.0974,2.5015,20.28,754.41,4789,5.4504,0.4789
13-Jan-2000,0.6629,0.6440,70.04,0.4027,1.0376,1.2736,0.9629,5.1562,1.1055,2.5190,20.41,753.72,4760,5.4885,0.4827
14-Jan-2000,0.6664,0.6496,70.69,0.4049,1.0472,1.2796,0.9665,5.1840,1.1142,2.5323,20.55,750.57,4808,5.5177,0.4854
17-Jan-2000,0.6654,0.6567,70.03,0.4066,1.0595,1.2804,0.9656,5.1761,1.1131,2.5285,20.51,747.74,4808,5.5093,0.4869
18-Jan-2000,0.6633,0.6562,69.57,0.4059,1.0593,1.2845,0.9610,5.1598,1.1089,2.5205,20.46,745.05,4819,5.4917,0.4849
19-Jan-2000,0.6644,0.6550,70.24,0.4057,1.0564,1.2876,0.9639,5.1686,1.1112,2.5247,20.49,748.94,4847,5.5008,0.4858
20-Jan-2000,0.6634,0.6562,69.84,0.4037,1.0593,1.2882,0.9635,5.1606,1.1107,2.5209,20.45,752.79,4846,5.4928,0.4851
21-Jan-2000,0.6653,0.6539,69.78,0.4022,1.0545,1.2911,0.9619,5.1747,1.1142,2.5281,20.50,749.53,4860,5.5083,0.4865
24-Jan-2000,0.6563,0.6529,68.92,0.3978,1.0530,1.2902,0.9472,5.1052,1.1053,2.4939,20.21,739.29,4804,5.4338,0.4794
