date,usd,cny,jpy,eur,krw,gbp,sgd,inr,thb,nzd,twd,myr,idr,vnd,aed,pgk,hkd,cad,zar,chf,php,sdr
02-Jan-2020,0.7003,4.8789,76.15,0.6252,810.63,0.5302,0.9432,49.93,21.09,1.0421,21.04,2.8625,9734,16226,2.5719,2.3860,5.4554,0.9098,,0.6792,,0.5065
03-Jan-2020,0.6966,4.8550,75.32,0.6236,811.86,0.5307,0.9399,49.91,21.02,1.0444,20.95,2.8557,9697,16142,2.5583,2.3734,5.4221,0.9051,,0.6758,,0.5033
06-Jan-2020,0.6945,4.8416,75.05,0.6220,811.80,0.5308,0.9376,50.02,20.93,1.0439,20.89,2.8530,9694,16096,2.5506,2.3663,5.4007,0.9012,,0.6746,,0.5028
07-Jan-2020,0.6928,4.8186,75.17,0.6191,807.15,0.5260,0.9344,49.68,20.89,1.0385,20.81,2.8377,9630,16056,2.5443,2.3605,5.3845,0.8984,,0.6715,,0.5002
08-Jan-2020,0.6871,4.7721,74.43,0.6163,804.63,0.5236,0.9285,49.50,20.81,1.0342,20.66,2.8199,9571,15924,2.5234,2.3411,5.3430,0.8921,,0.6666,,0.4964
09-Jan-2020,0.6873,4.7615,75.07,0.6184,797.30,0.5243,0.9280,49.11,20.83,1.0340,20.61,2.8120,9526,15928,2.5241,2.3417,5.3448,0.8962,,0.6695,,0.4975
10-Jan-2020,0.6873,4.7646,75.29,0.6187,798.06,0.5256,0.9281,48.87,20.80,1.0387,20.61,2.8042,9456,15930,2.5241,2.3417,5.3372,0.8978,,0.6689,,0.4983
13-Jan-2020,0.6914,4.7714,75.80,0.6213,798.50,0.5303,0.9308,48.97,20.87,1.0400,20.67,2.8098,9455,16023,2.5392,2.3557,5.3714,0.9021,,0.6727,,0.5013
14-Jan-2020,0.6902,4.7449,75.97,0.6197,796.87,0.5311,0.9296,48.90,20.89,1.0418,20.64,2.8022,9428,15995,2.5348,2.3516,5.3647,0.9013,,0.6702,,0.5001
15-Jan-2020,0.6899,4.7566,75.82,0.6196,798.80,0.5296,0.9296,48.92,20.89,1.0432,20.64,2.8124,9454,15988,2.5337,2.3506,5.3656,0.9009,,0.6673,,0.4997
16-Jan-2020,0.6907,4.7550,75.93,0.6194,801.00,0.5294,0.9298,48.91,20.92,1.0412,20.68,2.8101,9428,16005,2.5366,2.3533,5.3678,0.9009,,0.6662,,0.5000
17-Jan-2020,0.6895,4.7374,75.98,0.6194,799.16,0.5275,0.9285,48.94,20.99,1.0381,20.64,2.8021,9413,15976,2.5322,2.3492,5.3583,0.8999,,0.6657,,0.4988
20-Jan-2020,0.6884,4.7145,75.85,0.6203,797.27,0.5295,0.9272,48.94,20.93,1.0396,20.61,2.7932,9393,15950,2.5281,2.3455,5.3478,0.8993,,0.6663,,0.4986
21-Jan-2020,0.6865,4.7331,75.49,0.6185,800.63,0.5275,0.9260,48.86,20.84,1.0390,20.58,2.7934,9378,15906,2.5212,2.3390,5.3365,0.8964,,0.6643,,0.4972
22-Jan-2020,0.6839,4.7208,75.24,0.6171,796.06,0.5243,0.9231,48.69,20.78,1.0376,20.51,2.7859,9345,15847,2.5116,2.3302,5.3157,0.8949,,0.6632,,0.4957
23-Jan-2020,0.6867,4.7533,75.28,0.6195,801.62,0.5231,0.9263,48.88,20.92,1.0420,20.59,2.7921,9354,15912,2.5219,2.3397,5.3383,0.9040,,0.6649,,0.4979
24-Jan-2020,0.6847,4.7536,75.00,0.6197,800.17,0.5218,0.9245,48.80,20.90,1.0349,20.53,2.7821,9297,15865,2.5146,2.3329,5.3216,0.8989,,0.6642,,0.4963
28-Jan-2020,0.6762,4.6946,73.69,0.6134,795.79,0.5179,0.9178,48.24,20.82,1.0332,20.28,2.7609,9232,15668,2.4833,2.3039,5.2599,0.8916,,0.6563,,0.4913
29-Jan-2020,0.6774,4.7029,73.97,0.6151,796.45,0.5202,0.9200,48.23,20.92,1.0367,20.32,2.7626,9233,15696,2.4878,2.3080,5.2666,0.8917,,0.6599,,0.4926
30-Jan-2020,0.6739,4.6786,73.39,0.6117,798.54,0.5177,0.9185,48.15,21.07,1.0352,20.41,2.7542,9199,15623,2.4749,2.2961,5.2346,0.8898,,0.6552,,0.4901
31-Jan-2020,0.6724,4.6682,73.35,0.6099,798.95,0.5133,0.9156,48.05,20.92,1.0367,20.33,2.7481,9182,15615,2.4694,2.2910,5.2243,0.8878,,0.6527,,0.4887
03-Feb-2020,0.6696,4.6987,72.64,0.6042,800.98,0.5086,0.9161,47.91,20.91,1.0351,20.33,2.7547,9190,15575,2.4591,2.2814,5.2002,0.8868,,0.6452,,0.4863
04-Feb-2020,0.6719,4.7029,73.06,0.6075,797.31,0.5165,0.9210,47.84,20.78,1.0390,20.29,2.7649,9225,15615,2.4676,2.2893,5.2194,0.8930,,0.6495,,0.4879
05-Feb-2020,0.6738,4.7186,73.77,0.6106,801.22,0.5176,0.9305,48.00,20.96,1.0390,20.29,2.7774,9245,15648,2.4745,2.2957,5.2324,0.8955,,0.6534,,0.4896
06-Feb-2020,0.6760,4.7053,74.33,0.6148,796.71,0.5208,0.9358,48.15,21.03,1.0439,20.27,2.7844,9200,15698,2.4826,2.3032,5.2476,0.8979,,0.6587,,0.4915
07-Feb-2020,0.6718,4.6891,73.84,0.6118,798.27,0.5192,0.9308,47.84,20.93,1.0412,20.23,2.7776,9180,15608,2.4672,2.2889,5.2139,0.8929,,0.6547,,0.4891
10-Feb-2020,0.6699,4.6827,73.51,0.6114,796.80,0.5191,0.9310,47.80,20.97,1.0451,20.16,2.7771,9188,15582,2.4602,2.2825,5.2027,0.8906,,0.6543,,0.4887
11-Feb-2020,0.6709,4.6814,73.72,0.6150,793.94,0.5196,0.9309,47.77,20.93,1.0501,20.13,2.7779,9181,15594,2.4639,2.2859,5.2093,0.8925,,0.6564,,0.4894
12-Feb-2020,0.6728,4.6848,73.89,0.6165,793.10,0.5192,0.9324,47.92,20.96,1.0418,20.16,2.7820,9190,15633,2.4709,2.2923,5.2252,0.8937,,0.6565,,0.4911
13-Feb-2020,0.6719,4.6905,73.81,0.6182,794.15,0.5188,0.9325,48.01,20.95,1.0420,20.15,2.7823,9195,15615,2.4676,2.2893,5.2206,0.8903,,0.6571,,0.4904
14-Feb-2020,0.6719,4.6913,73.76,0.6202,794.86,0.5151,0.9337,47.91,20.94,1.0448,20.15,2.7823,9206,15619,2.4676,2.2893,5.2194,0.8910,,0.6585,,0.4912
