date,usd,eur,jpy,gbp,chf,nzd,cad,hkd,sgd,myr,twd,krw,idr,cny,sdr
02-Jan-1991,0.7725,,104.93,0.4005,0.9848,1.3113,0.8959,6.0228,1.3511,2.0919,20.94,553.42,1469,4.0341,0.5430
03-Jan-1991,0.7744,,103.46,0.3977,0.9756,1.3072,0.8953,6.0372,1.3482,2.0967,20.99,555.01,1472,4.0440,0.5431
04-Jan-1991,0.7782,,103.89,0.4002,0.9844,1.3096,0.8970,6.0672,1.3576,2.1072,21.10,557.19,1479,4.0638,0.5442
07-Jan-1991,0.7780,,105.67,0.4054,0.9966,1.3168,0.8980,6.0661,1.3655,2.1155,21.11,557.59,1481,4.0628,0.5443
08-Jan-1991,0.7779,,106.11,0.4090,1.0060,1.3147,0.8975,6.0688,1.3689,2.1202,21.13,557.83,1482,4.0623,0.5525
09-Jan-1991,0.7742,,105.96,0.4085,1.0031,1.3080,0.8929,6.0395,1.3626,2.1102,21.04,555.10,1475,4.0429,0.5501
10-Jan-1991,0.7737,,105.16,0.4060,0.9934,1.3067,0.8915,6.0360,1.3604,2.1095,21.03,555.13,1475,4.0403,0.5475
11-Jan-1991,0.7733,,104.16,0.4051,0.9924,1.2981,0.8929,6.0314,1.3596,2.1072,21.04,555.00,1474,4.0382,0.5474
14-Jan-1991,0.7732,,104.79,0.4095,0.9982,1.3006,0.8913,6.0306,1.3637,2.1097,21.15,555.00,1474,4.0377,0.5476
15-Jan-1991,0.7770,,105.27,0.4092,0.9983,1.3112,0.8932,6.0618,1.3706,2.1177,21.29,558.12,1482,4.0576,0.5528
16-Jan-1991,0.7847,,107.19,0.4122,1.0117,1.3162,0.9016,6.1206,1.3862,2.1414,21.47,563.81,1497,4.0978,0.5575
17-Jan-1991,0.7802,,104.35,0.4053,0.9924,1.3139,0.9008,6.0856,1.3654,2.1253,21.28,560.57,1489,4.0743,0.5550
18-Jan-1991,0.7827,,104.57,0.4061,0.9956,1.3145,0.9050,6.1027,1.3658,2.1339,21.32,562.45,1494,4.0873,0.5517
21-Jan-1991,0.7814,,103.79,0.4032,0.9873,1.3124,0.9046,6.0926,1.3596,2.1250,21.29,561.75,1492,4.0805,0.5500
22-Jan-1991,0.7805,,102.74,0.3994,0.9772,1.3076,0.9052,6.0832,1.3535,2.1201,21.25,561.18,1490,4.0758,
23-Jan-1991,0.7836,,103.92,0.4032,0.9858,1.3114,0.9065,6.1070,1.3588,2.1279,21.31,563.41,1497,4.0920,0.5455
24-Jan-1991,0.7836,,103.20,0.4004,0.9807,1.3095,0.9062,6.1078,1.3570,2.1200,21.26,563.80,1497,4.0920,0.5480
25-Jan-1991,0.7798,,103.27,0.3991,0.9814,1.3053,0.9039,6.0789,1.3469,2.1078,21.15,560.52,1490,4.0722,0.5430
29-Jan-1991,0.7835,,102.97,0.3986,0.9882,1.3084,0.9103,6.1074,1.3523,2.1130,21.24,563.18,1498,4.0915,0.5461
30-Jan-1991,0.7852,,103.32,0.3999,0.9912,1.3056,0.9099,6.1171,1.3553,2.1185,21.29,564.72,1502,4.1004,0.5458
31-Jan-1991,0.7849,,102.94,0.4002,0.9909,1.3080,0.9110,6.1148,1.3588,2.1181,21.27,564.34,1501,4.0988,0.5475
01-Feb-1991,0.7820,,102.86,0.3984,0.9861,1.3042,0.9087,6.0953,1.3522,2.1091,21.19,562.02,1494,4.0837,0.5451
04-Feb-1991,0.7819,,102.69,0.3960,0.9799,1.3023,0.9063,6.0969,1.3464,2.1076,21.19,562.50,1494,4.0832,0.5437
05-Feb-1991,0.7818,,101.81,0.3943,0.9778,1.2989,0.9060,6.0961,1.3392,2.1054,21.19,562.43,1494,4.0826,0.5409
06-Feb-1991,0.7763,,100.21,0.3895,0.9642,1.2915,0.8997,6.0540,1.3267,2.0891,21.04,559.01,1483,4.0539,0.5362
07-Feb-1991,0.7824,,100.66,0.3917,0.9677,1.3010,0.9055,6.0953,1.3381,2.1048,21.20,563.72,1494,4.0858,0.5383
08-Feb-1991,0.7784,,100.02,0.3917,0.9711,1.2947,0.9024,6.0693,1.3353,2.0962,21.09,561.30,1488,4.0649,0.5353
11-Feb-1991,0.7803,,99.68,0.3926,0.9699,1.2987,0.9031,6.0836,1.3355,2.0990,21.19,563.38,1491,4.0748,0.5369
12-Feb-1991,0.7810,,99.72,0.3911,0.9663,1.2933,0.9013,6.0875,1.3346,2.0996,21.18,563.88,1492,4.0785,0.5363
13-Feb-1991,0.7884,,101.48,0.3959,0.9825,1.3020,0.9097,6.1436,1.3501,2.1212,21.38,568.83,1507,4.1171,0.5418
14-Feb-1991,0.7869,,102.12,0.3968,0.9855,1.2963,0.9079,6.1311,1.3433,2.1163,21.34,567.75,1505,4.1093,0.5419
15-Feb-1991,0.7874,,102.05,0.3974,0.9886,1.2985,0.9076,6.1352,1.3479,2.1157,21.35,568.11,1506,4.1119,0.5435
18-Feb-1991,0.7884,,102.49,0.4002,0.9981,1.3005,0.9089,6.1444,1.3513,2.1239,21.38,568.44,1509,4.1171,0.5458
19-Feb-1991,0.7902,,103.08,0.4024,1.0024,1.3016,0.9113,6.1606,1.3570,2.1286,21.42,569.97,1513,4.1265,
20-Feb-1991,0.7869,,103.34,0.4023,1.0037,1.3030,0.9072,6.1317,1.3531,2.1238,21.33,567.59,1508,4.1093,0.5486
21-Feb-1991,0.7869,,103.30,0.4034,1.0045,1.3146,0.9072,6.1348,1.3546,2.1232,21.32,567.83,1508,4.1093,0.5485
22-Feb-1991,0.7878,,103.07,0.4019,1.0025,1.3154,0.9072,6.1385,1.3525,2.1255,21.39,568.79,1509,4.1140,0.5484
25-Feb-1991,0.7838,,103.66,0.4046,1.0150,1.3111,0.9040,6.1080,1.3513,2.1214,21.32,566.61,1504,4.0931,0.5458
26-Feb-1991,0.7843,,104.12,0.4061,1.0190,1.3067,0.9044,6.1135,1.3521,2.1258,21.31,567.68,1506,4.0957,0.5510
27-Feb-1991,0.7852,,104.32,0.4088,1.0284,1.3108,0.9041,6.1216,1.3571,2.1330,21.33,568.80,1508,4.1004,0.5533
28-Feb-1991,0.7851,,103.65,0.4087,1.0302,1.3105,0.9040,6.1173,1.3555,2.1327,21.34,568.73,1507,4.0999,0.5531
01-Mar-1991,0.7874,,105.26,0.4129,1.0441,1.3099,0.9053,6.1360,1.3642,2.1461,21.42,570.39,1512,4.1119,0.5543
04-Mar-1991,0.7824,,105.89,0.4134,1.0472,1.3042,0.9029,6.0976,1.3589,2.1352,21.29,566.61,1504,4.0858,0.5546
05-Mar-1991,0.7733,,104.35,0.4058,1.0293,1.2930,0.8946,6.0254,1.3413,2.1088,21.04,560.64,1487,4.0382,0.5492
06-Mar-1991,0.7684,,104.85,0.4068,1.0337,1.2941,0.8896,5.9874,1.3397,2.0998,20.93,557.09,1478,4.0127,0.5438
07-Mar-1991,0.7719,,104.69,0.4073,1.0337,1.2973,0.8941,6.0153,1.3435,2.1069,21.02,559.40,1485,4.0309,0.5498
08-Mar-1991,0.7649,,104.20,0.4076,1.0377,1.2910,0.8867,5.9620,1.3348,2.0889,20.87,554.40,1472,3.9944,0.5441
11-Mar-1991,0.7657,,105.84,0.4142,1.0586,1.2867,0.8904,5.9670,1.3423,2.0973,20.89,554.98,1476,3.9986,0.5468
12-Mar-1991,0.7697,,104.87,0.4128,1.0459,1.2873,0.8899,5.9982,1.3447,2.1013,21.00,558.11,1483,4.0195,0.5528
13-Mar-1991,0.7657,,104.71,0.4118,1.0444,1.2832,0.8838,5.9673,1.3373,2.0934,20.88,555.21,1475,3.9986,0.5482
14-Mar-1991,0.7680,,104.10,0.4121,1.0454,1.2890,0.8861,5.9849,1.3405,2.0975,20.93,556.95,1479,4.0106,0.5513
