Date,A2M.AX,ATM.NZ
2017-10-26,7.5,8.4
2017-10-27,7.67,8.6
2017-10-30,7.76,8.75
2017-10-31,7.62,8.67
2017-11-01,7.16,7.94
2017-11-02,7.58,8.42
2017-11-03,7.28,8.15
2017-11-06,7.15,7.98
2017-11-07,6.8,7.62
2017-11-08,6.73,7.49
2017-11-09,6.88,7.57
2017-11-10,6.7,7.41
2017-11-13,6.91,7.7
2017-11-14,6.78,7.57
2017-11-15,6.84,7.63
2017-11-16,7.02,7.79
2017-11-17,7.18,7.92
2017-11-20,7.07,7.84
2017-11-21,7.46,8.26
2017-11-22,7.93,8.69
2017-11-23,7.6,8.43
2017-11-24,7.51,8.33
2017-11-27,7.68,8.47
2017-11-28,7.63,8.41
2017-11-29,7.58,8.33
2017-11-30,7.59,8.43
2017-12-01,7.51,8.29
2017-12-04,7.48,8.3
2017-12-05,7.26,8.12
2017-12-06,7.36,8.08
2017-12-07,7.14,7.93
2017-12-08,7.17,7.95
2017-12-11,7.09,7.78
2017-12-12,7.1,7.75
2017-12-13,7.07,7.77
2017-12-14,7.31,7.94
2017-12-15,7.25,7.76
2017-12-18,7.31,7.97
2017-12-19,7.39,8.15
2017-12-20,7.24,7.94
2017-12-21,7.38,8.01
2017-12-22,7.49,8.13
2017-12-27,7.42,8.16
2017-12-28,7.4,8.13
2017-12-29,7.37,8.07
2018-01-02,7.5,NaN
2018-01-03,7.43,8.2
2018-01-04,7.5,8.24
2018-01-05,7.55,8.27
2018-01-08,7.68,8.36
2018-01-09,7.61,8.34
2018-01-10,7.35,8.1
2018-01-11,7.01,7.74
2018-01-12,7.02,7.69
2018-01-15,6.97,7.71
2018-01-16,7.42,8.0
2018-01-17,7.6,8.25
2018-01-18,7.54,8.3
2018-01-19,7.93,8.53
2018-01-22,8.04,8.83
2018-01-23,8.17,8.83
2018-01-24,8.4,9.06
2018-01-25,8.41,9.28
2018-01-26,NaN,9.08
2018-01-29,8.3,9.23
2018-01-30,8.04,8.99
2018-01-31,8.29,9.2
2018-02-01,8.43,9.26
2018-02-02,8.57,9.35
2018-02-05,8.25,9.04
2018-02-06,7.76,NaN
2018-02-07,8.16,8.87
2018-02-08,8.21,8.87
2018-02-09,8.14,8.75
2018-02-12,8.23,8.8
2018-02-13,8.37,9.07
2018-02-14,8.31,9.05
2018-02-15,8.52,9.1
2018-02-16,8.59,9.24
2018-02-19,8.57,9.28
2018-02-20,8.71,9.29
2018-02-21,11.3,11.75
2018-02-22,12.1,12.9
2018-02-23,11.77,12.65
2018-02-26,12.2,13.05
2018-02-27,12.09,13.1
2018-02-28,12.23,13.23
2018-03-01,12.23,13.09
2018-03-02,12.11,13.0
2018-03-05,11.92,12.82
2018-03-06,11.87,12.75
2018-03-07,11.7,12.56
2018-03-08,12.25,13.18
2018-03-09,12.37,13.27
2018-03-12,12.72,13.89
2018-03-13,13.06,13.96
2018-03-14,12.9,13.82
2018-03-15,12.92,13.9
2018-03-16,12.74,13.62
2018-03-19,12.93,13.62
2018-03-20,12.7,13.51
2018-03-21,13.17,13.99
2018-03-22,13.06,14.1
2018-03-23,12.74,13.73
2018-03-26,12.44,13.4
2018-03-27,13.04,13.84
2018-03-28,12.06,12.94
2018-03-29,11.46,12.4
2018-04-03,11.6,12.47
2018-04-04,12.19,12.92
2018-04-05,12.09,12.92
2018-04-06,12.12,12.97
2018-04-09,12.18,12.97
2018-04-10,12.38,13.05
2018-04-11,12.11,12.88
2018-04-12,11.9,12.63
2018-04-13,11.6,12.2
2018-04-16,11.7,12.47
2018-04-17,11.4,12.19
2018-04-18,11.59,12.35
2018-04-19,11.9,12.7
2018-04-20,11.94,12.76
2018-04-23,11.58,12.37
2018-04-24,11.26,12.0
2018-04-26,11.2,12.09
2018-04-27,11.18,12.0
2018-04-30,11.31,12.15
2018-05-01,11.27,12.12
2018-05-02,11.7,12.54
2018-05-03,11.7,12.72
2018-05-04,12.02,13.02
2018-05-07,12.21,13.17
2018-05-08,11.79,12.75
2018-05-09,11.98,12.89
2018-05-10,11.98,13.01
2018-05-11,11.94,12.96
2018-05-14,12.22,13.3
2018-05-15,12.13,13.1
2018-05-16,10.54,11.3
2018-05-17,10.75,11.77
2018-05-18,10.26,11.3
2018-05-21,10.07,11.04
2018-05-22,9.86,10.71
2018-05-23,9.3,10.24
2018-05-24,9.83,10.66
2018-05-25,10.0,10.94
2018-05-28,9.89,10.77
2018-05-29,9.61,10.55
2018-05-30,9.94,10.88
2018-05-31,9.93,10.87
2018-06-01,9.61,10.45
2018-06-04,9.42,NaN
2018-06-05,9.99,11.0
2018-06-06,9.94,10.9
2018-06-07,10.39,11.38
2018-06-08,10.56,11.5
2018-06-11,NaN,11.85
2018-06-12,10.88,11.78
2018-06-13,10.52,11.5
2018-06-14,10.65,11.5
2018-06-15,10.97,11.9
2018-06-18,10.86,11.69
2018-06-19,10.76,11.51
2018-06-20,10.99,11.74
2018-06-21,11.24,12.15
2018-06-22,10.97,11.95
2018-06-25,10.89,11.65
2018-06-26,10.85,11.65
2018-06-27,10.87,11.73
2018-06-28,10.61,11.66
2018-06-29,10.52,11.46
2018-07-02,10.37,11.43
2018-07-03,10.72,11.8
2018-07-04,10.52,11.4
2018-07-05,10.51,11.55
2018-07-06,10.51,11.5
2018-07-09,10.44,11.44
2018-07-10,10.61,11.66
2018-07-11,10.82,11.77
2018-07-12,10.5,11.36
2018-07-13,10.29,11.39
2018-07-16,10.28,11.29
2018-07-17,10.09,11.1
2018-07-18,10.0,11.01
2018-07-19,9.81,10.75
2018-07-20,9.71,10.75
2018-07-23,9.58,10.45
2018-07-24,9.77,10.6
2018-07-25,9.94,10.85
2018-07-26,9.9,10.75
2018-07-27,9.91,10.78
2018-07-30,9.76,10.62
2018-07-31,9.6,10.46
2018-08-01,9.47,10.33
2018-08-02,9.56,10.44
2018-08-03,9.64,10.42
2018-08-06,9.59,10.56
2018-08-07,9.59,10.55
2018-08-08,9.37,10.4
2018-08-09,9.4,10.49
2018-08-10,9.78,10.77
2018-08-13,9.76,10.77
2018-08-14,10.09,11.16
2018-08-15,10.06,11.02
2018-08-16,9.86,10.82
2018-08-17,9.78,10.85
2018-08-20,9.97,10.93
2018-08-21,10.09,11.13
2018-08-22,10.6,11.81
2018-08-23,10.82,11.77
2018-08-24,10.79,11.83
2018-08-27,11.18,12.18
2018-08-28,11.44,12.39
2018-08-29,11.89,12.93
2018-08-30,11.65,12.7
2018-08-31,11.5,12.62
2018-09-03,11.61,12.8
2018-09-04,11.66,12.82
2018-09-05,11.25,12.4
2018-09-06,10.82,11.88
2018-09-07,10.58,11.62
2018-09-10,10.62,11.54
2018-09-11,11.01,12.1
2018-09-12,10.93,12.09
2018-09-13,10.93,12.06
2018-09-14,10.95,11.99
2018-09-17,11.18,12.29
2018-09-18,11.12,12.14
2018-09-19,11.24,12.27
2018-09-20,11.33,12.38
2018-09-21,11.3,12.51
2018-09-24,10.87,11.84
2018-09-25,10.81,11.8
2018-09-26,10.7,11.85
2018-09-27,10.55,11.55
2018-09-28,10.24,11.26
2018-10-01,10.35,11.4
2018-10-02,10.31,11.38
2018-10-03,9.97,11.08
2018-10-04,9.54,10.7
2018-10-05,9.64,10.59
2018-10-08,9.61,10.59
2018-10-09,9.31,10.2
2018-10-10,9.25,10.21
2018-10-11,8.34,9.04
2018-10-12,8.94,9.89
2018-10-15,8.88,9.78
2018-10-16,9.03,9.7
2018-10-17,9.8,10.59
2018-10-18,9.6,10.41
2018-10-19,9.5,10.31
2018-10-22,9.45,NaN
2018-10-23,9.47,10.25
2018-10-24,9.3,10.1
2018-10-25,9.1,9.91
2018-10-26,9.05,9.86
